,Tipologia_di_reato,Numero_reati
4,CONTRO IL PATRIMONIO,31009
11,CONTRO LA PERSONA,23611
1,STUPEFACENTI,18942
2,LEGGE ARMI,9249
6,CONTRO L'AMMINISTRAZIONE,8685
0,MAFIA (416BIS),7274
13,CONTRO LA GIUSTIZIA,6471
8,FEDE PUBBLICA,4378
10,CONTRO LA FAMIGLIA,4323
15,CONTRAVVENZIONI,3960
3,ORDINE PUBBLICO,2709
18,ALTRI REATI,2222
7,INCOLUMITA' PUBBLICA,1658
16,IMMIGRAZIONE,1358
17,CONTRO I DEFUNTI,1030
14,ECONOMIA PUBBLICA,887
5,PROSTITUZIONE,523
12,CONTRO LO STATO,127
9,MORALITA' PUBBLICA,74
