Tipologia_di_reato;Numero_reati
MAFIA (416BIS);7.274
STUPEFACENTI;18.942
LEGGE ARMI;9.249
ORDINE PUBBLICO;2.709
CONTRO IL PATRIMONIO;31.009
PROSTITUZIONE;523
CONTRO LA PUBBLICA AMMINISTRAZIONE;8.685
INCOLUMITA' PUBBLICA;1.658
FEDE PUBBLICA;4.378
MORALITA' PUBBLICA;74
CONTRO LA FAMIGLIA;4.323
CONTRO LA PERSONA;23.611
CONTRO LA PERSONALITA' DELLO STATO;127
CONTRO L'AMMINISTRAZIONE DELLA GIUSTIZIA;6.471
ECONOMIA PUBBLICA;887
CONTRAVVENZIONI;3.960
IMMIGRAZIONE;1.358
CONTRO IL SENTIM.TO E LA PIETA' DEI DEFUNTI;1.030
ALTRI REATI;2.222
